GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
alphabetizer,edu.vt.nis,Alphabetizer,0,86,0,4,0,23,0,10,0,8
alphabetizer,edu.vt.nis,Alphabetizer.new Comparator() {...},0,35,0,2,0,10,0,4,0,3
